Fecha;Semana;Lote.;Cultivo.;Herramienta.de.aplicaci.U.00F3.n.;Objetivo.s..;Producto.s..
2021-07-02;26;Richel;Rosas;Maruyama + Aguilon ADN;Bioestimulante;UNI-K-S (1), Agrotin (1)
2021-07-02;26;G1, G2;Fresa, pepino;Bomba de espalda sthill;Mildeo, botrytis y trips;ADN GREEN (1.5), Agrotin (1), Bioclean(2)
2021-07-02;26;G2, F2;Lechugas, NFT;Bomba de espalda sthill;Afidos;ADN GREEN (1), Deep green (1), Agrotin (1)
2021-07-02;26;H2;Tomate;Bomba de espalda sthill;Polvoso;ADN TRI3 (1), bioclean (1.5), Agrotin (1)
2021-07-02;26;F1;Tomate;Bomba de espalda sthill;Mosca blanca, polvoso;ADN GREEN (1), bioclean (1.5), Agrotin (1)
2021-07-06;27;M;Maiz y frijol;Maruyama + lanza;Hongos;Mirage (1), Agrotin (1)
2021-07-06;27;Richel;Rosas;Maruyama + Aguilon ADN;Bioestimulante;Ascofol (1)
2021-07-06;27;H2, F1;Tomate;Bomba de espalda sthill;Polvoso;UNI-K-S (1.5), Agrotin (1)
2021-07-07;27;H2, F1;Tomate;Bomba de espalda sthill;Estimulacion;Globalfol (2)
2021-07-08;27;Richel;Rosas;Maruyama + Aguilon ADN;Acaros;ADN EGG (1.5)
2021-07-09;28;H1;Passifloras;Bomba de espalda sthill;Acaros;Acarex (2), Agrotin (1)
2021-07-09;28;G1, G2;Fresa, pepino;Bomba de espalda sthill;Mildeo, botrytis y trips;ADN GREEN (1.5), Agrotin (1), Timorex (2)
2021-07-09;28;H2, F1;Tomate;Bomba de espalda sthill;Polvoso;ADN GREEN (1.5), Agrotin (1), Timorex (2)
2021-07-09;28;F2;NFT;Bomba de espalda sthill;Preventivo;ADN GREEN (1.5), Agrotin (1), Timorex (2)
2021-07-09;28;Richel;Rosas;Maruyama + Aguilon ADN;Polvoso;ADN FUN (1.5), Agrotin (0.5)
2021-07-12;29;H2, F1;Tomate;Bomba de espalda sthill;Polvoso;Timorex (2), Bassicore (1), Agrotin (1)
2021-07-12;29;F2;NFT;Bomba de espalda sthill;Hongos;Timorex (2), Bassicore (1), Agrotin (1)
2021-07-12;29;Richel;Rosas;Maruyama + Aguilon ADN;Polvoso;ADN FUN (1.5), Agrotin (0.5)
2021-07-13;29;H2, F1;Tomate;Bomba de espalda sthill;Polvoso;Terradrin (1.5), Agrotin (1)
