CULTIVO,Tiempo en semillero,Tipo de bandeja,Tiempo a cosecha,Estado,Semana,Cantidad
Crespa morada,28,128,8,Trasplante,29,NA
Crespa morada,28,128,8,Plan,30,NA
Crespa morada,28,128,8,Siembra,30,NA
Crespa morada,28,128,8,Trasplante,30,NA
Crespa morada,28,128,8,Plan,31,NA
Crespa morada,28,128,8,Siembra,31,NA
Crespa morada,28,128,8,Trasplante,31,NA
Crespa morada,28,128,8,Plan,32,NA
Crespa morada,28,128,8,Siembra,32,NA
Crespa morada,28,128,8,Trasplante,32,NA
Crespa morada,28,128,8,Plan,33,NA
Crespa morada,28,128,8,Siembra,33,NA
Crespa morada,28,128,8,Trasplante,33,NA
Crespa morada,28,128,8,Plan,34,NA
Crespa morada,28,128,8,Siembra,34,NA
Crespa morada,28,128,8,Trasplante,34,NA
Crespa morada,28,128,8,Plan,35,NA
Crespa morada,28,128,8,Siembra,35,NA
Crespa morada,28,128,8,Trasplante,35,NA
Crespa morada,28,128,8,Plan,36,NA
Crespa morada,28,128,8,Siembra,36,NA
Crespa morada,28,128,8,Trasplante,36,NA
Crespa morada,28,128,8,Plan,37,NA
Crespa morada,28,128,8,Siembra,37,NA
Crespa morada,28,128,8,Trasplante,37,NA
Crespa morada,28,128,8,Plan,38,NA
Crespa morada,28,128,8,Siembra,38,NA
Crespa morada,28,128,8,Trasplante,38,NA
Crespa morada,28,128,8,Plan,39,NA
Crespa morada,28,128,8,Siembra,39,NA
Crespa morada,28,128,8,Trasplante,39,NA
Crespa morada,28,128,8,Plan,40,NA
Crespa morada,28,128,8,Siembra,40,NA
Crespa morada,28,128,8,Trasplante,40,NA
Crespa morada,28,128,8,Plan,41,NA
Crespa morada,28,128,8,Siembra,41,NA
Crespa morada,28,128,8,Trasplante,41,NA
Crespa morada,28,128,8,Plan,42,NA
Crespa morada,28,128,8,Siembra,42,NA
Crespa morada,28,128,8,Trasplante,42,NA
Crespa morada,28,128,8,Plan,43,NA
Crespa morada,28,128,8,Siembra,43,NA
Crespa morada,28,128,8,Trasplante,43,NA
Crespa morada,28,128,8,Plan,44,NA
Crespa morada,28,128,8,Siembra,44,NA
Crespa morada,28,128,8,Trasplante,44,NA
Crespa morada,28,128,8,Plan,45,NA
Crespa morada,28,128,8,Siembra,45,NA
Crespa morada,28,128,8,Trasplante,45,NA
Crespa morada,28,128,8,Plan,46,NA
Crespa morada,28,128,8,Siembra,46,NA
Crespa morada,28,128,8,Trasplante,46,NA
Crespa morada,28,128,8,Plan,47,NA
Crespa morada,28,128,8,Siembra,47,NA
Crespa morada,28,128,8,Trasplante,47,NA
Crespa morada,28,128,8,Plan,48,NA
Crespa morada,28,128,8,Siembra,48,NA
Crespa morada,28,128,8,Trasplante,48,NA
Crespa morada,28,128,8,Plan,49,NA
Crespa morada,28,128,8,Siembra,49,NA
Crespa morada,28,128,8,Trasplante,49,NA
Crespa morada,28,128,8,Plan,50,NA
Crespa morada,28,128,8,Siembra,50,NA
Crespa morada,28,128,8,Trasplante,50,NA
Crespa morada,28,128,8,Plan,51,NA
Crespa morada,28,128,8,Siembra,51,NA
Crespa morada,28,128,8,Trasplante,51,NA
Crespa morada,28,128,8,Plan,52,NA
Crespa morada,28,128,8,Siembra,52,NA
Crespa morada,28,128,8,Trasplante,52,NA
Lisa,28,128,8,Plan,6,64
Lisa,28,128,8,Siembra,6,64
Lisa,28,128,8,Trasplante,6,64
Lisa,28,128,8,Plan,7,64
Lisa,28,128,8,Siembra,7,64
Lisa,28,128,8,Trasplante,7,64
Lisa,28,128,8,Plan,8,64
Lisa,28,128,8,Siembra,8,0
Lisa,28,128,8,Trasplante,8,0
Lisa,28,128,8,Plan,9,64
Lisa,28,128,8,Siembra,9,0
Lisa,28,128,8,Trasplante,9,0
Lisa,28,128,8,Plan,10,64
Lisa,28,128,8,Siembra,10,0
Lisa,28,128,8,Trasplante,10,0
Lisa,28,128,8,Plan,11,64
